match | center (  1,   1) | [["M", "M", "S"], ["M", "A", "S"], ["M", "M", "S"]]
match | center ( 70, 138) | [["M", "S", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 71,  60) | [["S", "X", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 71,  69) | [["S", "M", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 71,  86) | [["M", "A", "S"], ["S", "A", "M"], ["M", "M", "S"]]
match | center ( 71,  88) | [["S", "X", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 71, 116) | [["S", "A", "M"], ["M", "A", "M"], ["S", "S", "M"]]
match | center ( 71, 120) | [["S", "A", "S"], ["X", "A", "X"], ["M", "S", "M"]]
match | center ( 71, 124) | [["S", "A", "M"], ["M", "A", "M"], ["S", "M", "M"]]
match | center ( 71, 138) | [["M", "A", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center ( 72,   1) | [["M", "S", "M"], ["S", "A", "M"], ["S", "M", "S"]]
match | center ( 72,  16) | [["M", "A", "S"], ["X", "A", "X"], ["M", "S", "S"]]
match | center ( 72,  18) | [["S", "M", "M"], ["X", "A", "M"], ["S", "M", "M"]]
match | center ( 72,  20) | [["M", "S", "S"], ["M", "A", "X"], ["M", "S", "S"]]
match | center ( 72,  24) | [["M", "A", "M"], ["X", "A", "X"], ["S", "M", "S"]]
match | center ( 72,  27) | [["S", "S", "M"], ["A", "A", "S"], ["S", "M", "M"]]
match | center ( 72,  29) | [["M", "A", "S"], ["S", "A", "M"], ["M", "M", "S"]]
match | center ( 72,  31) | [["S", "A", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 72,  52) | [["S", "S", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center ( 72,  60) | [["M", "A", "S"], ["S", "A", "M"], ["M", "A", "S"]]
match | center ( 72,  63) | [["M", "X", "S"], ["X", "A", "X"], ["M", "X", "S"]]
match | center ( 72,  71) | [["S", "A", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 72,  74) | [["M", "S", "M"], ["M", "A", "A"], ["S", "S", "S"]]
match | center ( 72,  75) | [["S", "M", "M"], ["A", "A", "A"], ["S", "S", "M"]]
match | center ( 72,  88) | [["M", "A", "S"], ["S", "A", "M"], ["M", "X", "S"]]
match | center ( 72,  94) | [["M", "X", "M"], ["A", "A", "S"], ["S", "A", "S"]]
match | center ( 72, 100) | [["S", "X", "S"], ["X", "A", "X"], ["M", "S", "M"]]
match | center ( 72, 102) | [["S", "A", "S"], ["X", "A", "X"], ["M", "M", "M"]]
match | center ( 72, 104) | [["S", "M", "S"], ["X", "A", "X"], ["M", "M", "M"]]
match | center ( 72, 106) | [["S", "M", "S"], ["X", "A", "A"], ["M", "S", "M"]]
match | center ( 72, 107) | [["M", "S", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 72, 108) | [["S", "M", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center ( 72, 128) | [["S", "S", "M"], ["A", "A", "A"], ["S", "M", "M"]]
match | center ( 72, 129) | [["S", "M", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 72, 138) | [["S", "A", "S"], ["M", "A", "S"], ["M", "X", "M"]]
match | center ( 73,  11) | [["M", "X", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 73,  43) | [["S", "M", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center ( 73,  45) | [["S", "M", "S"], ["A", "A", "A"], ["M", "X", "M"]]
match | center ( 73,  60) | [["S", "A", "M"], ["M", "A", "S"], ["S", "M", "M"]]
match | center ( 73,  78) | [["S", "X", "S"], ["X", "A", "X"], ["M", "X", "M"]]
match | center ( 73,  90) | [["M", "M", "S"], ["S", "A", "M"], ["M", "A", "S"]]
match | center ( 73,  96) | [["S", "X", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 73, 112) | [["S", "A", "S"], ["X", "A", "M"], ["M", "M", "M"]]
match | center ( 73, 117) | [["S", "M", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 73, 119) | [["S", "M", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 73, 120) | [["M", "S", "M"], ["A", "A", "X"], ["S", "M", "S"]]
match | center ( 74,   1) | [["S", "M", "S"], ["S", "A", "A"], ["M", "A", "M"]]
match | center ( 74,  13) | [["S", "A", "S"], ["S", "A", "X"], ["M", "A", "M"]]
match | center ( 74,  15) | [["S", "M", "S"], ["X", "A", "M"], ["M", "A", "M"]]
match | center ( 74,  20) | [["M", "S", "S"], ["X", "A", "M"], ["M", "M", "S"]]
match | center ( 74,  26) | [["S", "S", "M"], ["M", "A", "X"], ["S", "X", "M"]]
match | center ( 74,  31) | [["S", "A", "M"], ["M", "A", "M"], ["S", "M", "M"]]
match | center ( 74,  38) | [["M", "A", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center ( 74,  40) | [["S", "M", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 74,  56) | [["M", "S", "M"], ["X", "A", "M"], ["S", "M", "S"]]
match | center ( 74,  65) | [["S", "M", "S"], ["A", "A", "S"], ["M", "X", "M"]]
match | center ( 74,  71) | [["M", "A", "M"], ["M", "A", "X"], ["S", "S", "S"]]
match | center ( 74,  96) | [["S", "A", "M"], ["S", "A", "M"], ["S", "X", "M"]]
match | center ( 74, 101) | [["S", "M", "M"], ["X", "A", "M"], ["S", "S", "M"]]
match | center ( 74, 105) | [["M", "M", "S"], ["X", "A", "X"], ["M", "M", "S"]]
match | center ( 74, 115) | [["M", "M", "M"], ["M", "A", "M"], ["S", "X", "S"]]
match | center ( 75,  22) | [["M", "X", "M"], ["S", "A", "M"], ["S", "A", "S"]]
match | center ( 75,  33) | [["M", "M", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center ( 75,  36) | [["M", "M", "S"], ["A", "A", "M"], ["M", "M", "S"]]
match | center ( 75,  40) | [["S", "A", "M"], ["S", "A", "M"], ["S", "M", "M"]]
match | center ( 75, 113) | [["M", "M", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 75, 119) | [["M", "S", "M"], ["X", "A", "A"], ["S", "M", "S"]]
match | center ( 75, 120) | [["S", "M", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 75, 121) | [["M", "S", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 75, 124) | [["M", "S", "S"], ["M", "A", "A"], ["M", "S", "S"]]
match | center ( 75, 125) | [["S", "S", "M"], ["A", "A", "A"], ["S", "S", "M"]]
match | center ( 75, 126) | [["S", "M", "M"], ["A", "A", "A"], ["S", "M", "M"]]
match | center ( 75, 127) | [["M", "M", "S"], ["A", "A", "A"], ["M", "M", "S"]]
match | center ( 75, 128) | [["M", "S", "S"], ["A", "A", "X"], ["M", "S", "S"]]
match | center ( 75, 134) | [["M", "A", "S"], ["X", "A", "M"], ["M", "X", "S"]]
match | center ( 75, 136) | [["S", "M", "M"], ["M", "A", "X"], ["S", "A", "M"]]
match | center ( 76,   6) | [["M", "X", "M"], ["M", "A", "M"], ["S", "X", "S"]]
match | center ( 76,  17) | [["M", "M", "M"], ["X", "A", "M"], ["S", "S", "S"]]
match | center ( 76,  22) | [["S", "A", "M"], ["S", "A", "S"], ["S", "M", "M"]]
match | center ( 76,  29) | [["M", "S", "S"], ["X", "A", "A"], ["M", "M", "S"]]
match | center ( 76,  54) | [["M", "A", "S"], ["S", "A", "M"], ["M", "M", "S"]]
match | center ( 76,  57) | [["M", "S", "M"], ["X", "A", "X"], ["S", "X", "S"]]
match | center ( 76,  65) | [["M", "X", "M"], ["X", "A", "M"], ["S", "M", "S"]]
match | center ( 76,  67) | [["M", "A", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center ( 76,  70) | [["S", "S", "S"], ["X", "A", "A"], ["M", "M", "M"]]
match | center ( 76,  71) | [["S", "S", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 76,  72) | [["S", "S", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 76,  92) | [["M", "A", "M"], ["M", "A", "M"], ["S", "M", "S"]]
match | center ( 76, 100) | [["S", "S", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 76, 107) | [["S", "X", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 76, 113) | [["M", "A", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center ( 77,   1) | [["S", "X", "M"], ["S", "A", "X"], ["S", "A", "M"]]
match | center ( 77,  12) | [["M", "M", "S"], ["M", "A", "X"], ["M", "X", "S"]]
match | center ( 77,  40) | [["S", "M", "M"], ["M", "A", "A"], ["S", "X", "M"]]
match | center ( 77,  45) | [["M", "M", "S"], ["A", "A", "M"], ["M", "M", "S"]]
match | center ( 77,  47) | [["S", "A", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 77,  75) | [["M", "M", "S"], ["M", "A", "A"], ["M", "X", "S"]]
match | center ( 77, 113) | [["S", "A", "S"], ["M", "A", "S"], ["M", "X", "M"]]
match | center ( 77, 119) | [["S", "M", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 77, 121) | [["S", "M", "S"], ["M", "A", "A"], ["M", "S", "M"]]
match | center ( 77, 122) | [["M", "S", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 77, 123) | [["S", "M", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center ( 77, 127) | [["M", "M", "S"], ["M", "A", "X"], ["M", "S", "S"]]
match | center ( 78,  50) | [["M", "M", "S"], ["X", "A", "M"], ["M", "S", "S"]]
match | center ( 78,  55) | [["M", "S", "S"], ["S", "A", "X"], ["M", "A", "S"]]
match | center ( 78,  72) | [["M", "M", "M"], ["X", "A", "A"], ["S", "S", "S"]]
match | center ( 78,  73) | [["M", "M", "M"], ["A", "A", "M"], ["S", "S", "S"]]
match | center ( 78,  80) | [["S", "S", "M"], ["A", "A", "M"], ["S", "M", "M"]]
match | center ( 78,  82) | [["M", "A", "S"], ["M", "A", "M"], ["M", "S", "S"]]
match | center ( 78,  92) | [["S", "M", "S"], ["M", "A", "A"], ["M", "M", "M"]]
match | center ( 78,  97) | [["M", "S", "S"], ["M", "A", "A"], ["M", "A", "S"]]
match | center ( 78, 110) | [["M", "M", "M"], ["X", "A", "X"], ["S", "M", "S"]]
match | center ( 78, 133) | [["M", "X", "M"], ["A", "A", "M"], ["S", "M", "S"]]
match | center ( 79,  25) | [["S", "M", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 79,  65) | [["M", "M", "M"], ["M", "A", "A"], ["S", "S", "S"]]
match | center ( 79,  66) | [["M", "M", "M"], ["A", "A", "M"], ["S", "S", "S"]]
match | center ( 79,  86) | [["M", "M", "S"], ["A", "A", "A"], ["M", "M", "S"]]
match | center ( 79,  87) | [["M", "S", "S"], ["A", "A", "M"], ["M", "S", "S"]]
match | center ( 79,  89) | [["S", "X", "M"], ["M", "A", "A"], ["S", "M", "M"]]
match | center ( 79, 122) | [["S", "M", "S"], ["X", "A", "X"], ["M", "S", "M"]]
match | center ( 79, 124) | [["S", "M", "S"], ["X", "A", "X"], ["M", "M", "M"]]
match | center ( 79, 127) | [["M", "S", "S"], ["M", "A", "M"], ["M", "S", "S"]]
match | center ( 79, 138) | [["S", "X", "M"], ["M", "A", "X"], ["S", "X", "M"]]
match | center ( 80,   1) | [["M", "M", "M"], ["S", "A", "S"], ["S", "A", "S"]]
match | center ( 80,   9) | [["S", "X", "S"], ["M", "A", "A"], ["M", "X", "M"]]
match | center ( 80,  25) | [["S", "A", "M"], ["S", "A", "M"], ["S", "X", "M"]]
match | center ( 80,  29) | [["S", "A", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 80,  31) | [["S", "X", "S"], ["M", "A", "M"], ["M", "S", "M"]]
match | center ( 80,  46) | [["M", "M", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 80,  57) | [["S", "M", "S"], ["M", "A", "S"], ["M", "M", "M"]]
match | center ( 80,  73) | [["S", "S", "S"], ["X", "A", "A"], ["M", "S", "M"]]
match | center ( 80,  74) | [["S", "S", "M"], ["A", "A", "M"], ["S", "M", "M"]]
match | center ( 80,  78) | [["M", "M", "S"], ["S", "A", "A"], ["M", "M", "S"]]
match | center ( 80,  82) | [["M", "S", "S"], ["S", "A", "M"], ["M", "A", "S"]]
match | center ( 80, 107) | [["M", "S", "S"], ["M", "A", "A"], ["M", "M", "S"]]
match | center ( 80, 108) | [["S", "S", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 80, 109) | [["S", "S", "M"], ["A", "A", "M"], ["S", "M", "M"]]
match | center ( 81,   1) | [["S", "A", "S"], ["S", "A", "S"], ["M", "A", "M"]]
match | center ( 81,   3) | [["S", "M", "S"], ["S", "A", "X"], ["M", "M", "M"]]
match | center ( 81,   5) | [["S", "M", "S"], ["X", "A", "X"], ["M", "X", "M"]]
match | center ( 81,  27) | [["M", "M", "M"], ["M", "A", "M"], ["S", "S", "S"]]
match | center ( 81,  29) | [["M", "A", "M"], ["M", "A", "M"], ["S", "M", "S"]]
match | center ( 81,  63) | [["S", "S", "S"], ["M", "A", "X"], ["M", "M", "M"]]
match | center ( 81,  66) | [["S", "S", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 81,  82) | [["S", "A", "M"], ["M", "A", "S"], ["S", "X", "M"]]
match | center ( 81,  94) | [["M", "M", "M"], ["A", "A", "X"], ["S", "A", "S"]]
match | center ( 81, 100) | [["M", "X", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 81, 104) | [["S", "S", "S"], ["A", "A", "A"], ["M", "X", "M"]]
match | center ( 81, 116) | [["S", "M", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 81, 123) | [["S", "M", "M"], ["X", "A", "S"], ["S", "A", "M"]]
match | center ( 82,   1) | [["S", "A", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 82,  19) | [["M", "S", "M"], ["S", "A", "A"], ["S", "M", "S"]]
match | center ( 82,  20) | [["S", "M", "S"], ["A", "A", "M"], ["M", "S", "M"]]
match | center ( 82,  23) | [["S", "X", "S"], ["S", "A", "X"], ["M", "M", "M"]]
match | center ( 82,  31) | [["M", "S", "M"], ["S", "A", "A"], ["S", "M", "S"]]
match | center ( 82,  32) | [["S", "M", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 82,  33) | [["M", "S", "M"], ["A", "A", "X"], ["S", "M", "S"]]
match | center ( 82,  39) | [["M", "X", "S"], ["M", "A", "S"], ["M", "M", "S"]]
match | center ( 82,  51) | [["S", "A", "S"], ["X", "A", "M"], ["M", "A", "M"]]
match | center ( 82,  53) | [["S", "X", "S"], ["M", "A", "X"], ["M", "A", "M"]]
match | center ( 82,  57) | [["M", "M", "M"], ["M", "A", "X"], ["S", "M", "S"]]
match | center ( 82,  59) | [["M", "A", "M"], ["X", "A", "M"], ["S", "X", "S"]]
match | center ( 82,  84) | [["S", "A", "M"], ["M", "A", "M"], ["S", "X", "M"]]
match | center ( 82, 116) | [["S", "A", "M"], ["M", "A", "M"], ["S", "X", "M"]]
match | center ( 82, 118) | [["M", "M", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center ( 82, 120) | [["S", "X", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 82, 127) | [["M", "A", "S"], ["M", "A", "X"], ["M", "X", "S"]]
match | center ( 83,  28) | [["S", "S", "M"], ["M", "A", "X"], ["S", "X", "M"]]
match | center ( 83,  41) | [["S", "M", "M"], ["S", "A", "S"], ["S", "A", "M"]]
match | center ( 83,  80) | [["M", "M", "S"], ["A", "A", "S"], ["M", "M", "S"]]
match | center ( 83,  86) | [["M", "M", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center ( 83, 112) | [["M", "S", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center ( 83, 137) | [["M", "S", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center ( 84,  14) | [["M", "X", "S"], ["M", "A", "X"], ["M", "S", "S"]]
match | center ( 84,  19) | [["S", "M", "S"], ["X", "A", "X"], ["M", "A", "M"]]
match | center ( 84,  46) | [["S", "X", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 84,  48) | [["S", "A", "S"], ["M", "A", "M"], ["M", "X", "M"]]
match | center ( 84,  55) | [["M", "S", "S"], ["S", "A", "A"], ["M", "X", "S"]]
match | center ( 84,  61) | [["S", "X", "M"], ["S", "A", "A"], ["S", "A", "M"]]
match | center ( 84,  69) | [["S", "X", "M"], ["M", "A", "A"], ["S", "X", "M"]]
match | center ( 84,  77) | [["M", "M", "M"], ["S", "A", "M"], ["S", "X", "S"]]
match | center ( 84,  82) | [["S", "M", "S"], ["S", "A", "M"], ["M", "X", "M"]]
match | center ( 84,  86) | [["M", "A", "M"], ["S", "A", "S"], ["S", "A", "S"]]
match | center ( 84,  98) | [["M", "M", "S"], ["M", "A", "X"], ["M", "X", "S"]]
match | center ( 84, 118) | [["M", "M", "S"], ["A", "A", "S"], ["M", "M", "S"]]
match | center ( 84, 120) | [["S", "A", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 84, 123) | [["S", "A", "S"], ["X", "A", "M"], ["M", "S", "M"]]
match | center ( 84, 129) | [["S", "S", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 84, 130) | [["S", "S", "S"], ["A", "A", "M"], ["M", "M", "M"]]
match | center ( 84, 132) | [["S", "X", "S"], ["M", "A", "X"], ["M", "M", "M"]]
match | center ( 84, 135) | [["M", "A", "M"], ["S", "A", "M"], ["S", "X", "S"]]
match | center ( 84, 137) | [["M", "A", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 85,  23) | [["S", "A", "S"], ["X", "A", "S"], ["M", "M", "M"]]
match | center ( 85,  25) | [["S", "X", "S"], ["S", "A", "A"], ["M", "M", "M"]]
match | center ( 85,  46) | [["M", "A", "M"], ["M", "A", "M"], ["S", "M", "S"]]
match | center ( 85,  72) | [["M", "S", "M"], ["X", "A", "M"], ["S", "X", "S"]]
match | center ( 85, 110) | [["M", "A", "S"], ["S", "A", "M"], ["M", "X", "S"]]
match | center ( 85, 125) | [["M", "X", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 86,  14) | [["M", "S", "S"], ["A", "A", "X"], ["M", "S", "S"]]
match | center ( 86,  31) | [["S", "M", "S"], ["A", "A", "X"], ["M", "M", "M"]]
match | center ( 86,  34) | [["M", "M", "M"], ["A", "A", "S"], ["S", "M", "S"]]
match | center ( 86,  63) | [["M", "A", "M"], ["M", "A", "M"], ["S", "A", "S"]]
match | center ( 86,  79) | [["S", "M", "M"], ["M", "A", "X"], ["S", "A", "M"]]
match | center ( 86,  86) | [["S", "A", "S"], ["S", "A", "M"], ["M", "M", "M"]]
match | center ( 86, 129) | [["M", "M", "M"], ["A", "A", "S"], ["S", "A", "S"]]
match | center ( 86, 133) | [["M", "M", "S"], ["M", "A", "S"], ["M", "A", "S"]]
match | center ( 87,   3) | [["S", "X", "M"], ["M", "A", "X"], ["S", "X", "M"]]
match | center ( 87,  24) | [["M", "M", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 87,  26) | [["M", "M", "M"], ["S", "A", "S"], ["S", "M", "S"]]
match | center ( 87,  36) | [["S", "A", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 87,  40) | [["M", "M", "S"], ["S", "A", "A"], ["M", "M", "S"]]
match | center ( 87,  43) | [["S", "X", "S"], ["A", "A", "M"], ["M", "M", "M"]]
match | center ( 87,  65) | [["M", "A", "S"], ["S", "A", "M"], ["M", "M", "S"]]
match | center ( 87,  72) | [["S", "X", "S"], ["A", "A", "X"], ["M", "S", "M"]]
match | center ( 87,  84) | [["S", "A", "S"], ["X", "A", "M"], ["M", "S", "M"]]
match | center ( 87, 100) | [["S", "X", "M"], ["X", "A", "X"], ["S", "S", "M"]]
match | center ( 87, 102) | [["M", "A", "S"], ["X", "A", "X"], ["M", "S", "S"]]
match | center ( 87, 131) | [["S", "A", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 88,  24) | [["M", "A", "S"], ["S", "A", "S"], ["M", "X", "S"]]
match | center ( 88,  32) | [["M", "M", "S"], ["A", "A", "X"], ["M", "S", "S"]]
match | center ( 88,  36) | [["S", "A", "M"], ["S", "A", "M"], ["S", "A", "M"]]
match | center ( 88,  38) | [["M", "X", "S"], ["M", "A", "M"], ["M", "X", "S"]]
match | center ( 88,  46) | [["M", "M", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center ( 88,  48) | [["S", "X", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 88,  59) | [["M", "M", "S"], ["M", "A", "M"], ["M", "A", "S"]]
match | center ( 88,  77) | [["S", "M", "S"], ["A", "A", "M"], ["M", "S", "M"]]
match | center ( 88, 105) | [["M", "S", "S"], ["M", "A", "X"], ["M", "M", "S"]]
match | center ( 88, 119) | [["M", "M", "M"], ["S", "A", "S"], ["S", "A", "S"]]
match | center ( 89,   6) | [["M", "M", "M"], ["X", "A", "A"], ["S", "M", "S"]]
match | center ( 89,   7) | [["M", "M", "S"], ["A", "A", "X"], ["M", "S", "S"]]
match | center ( 89,  18) | [["S", "M", "S"], ["X", "A", "M"], ["M", "M", "M"]]
match | center ( 89,  26) | [["S", "M", "S"], ["S", "A", "S"], ["M", "X", "M"]]
match | center ( 89,  28) | [["S", "A", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 89,  40) | [["M", "M", "S"], ["S", "A", "M"], ["M", "M", "S"]]
match | center ( 89,  42) | [["S", "M", "M"], ["M", "A", "S"], ["S", "X", "M"]]
match | center ( 89,  46) | [["M", "A", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 89,  48) | [["M", "A", "M"], ["S", "A", "M"], ["S", "X", "S"]]
match | center ( 89,  52) | [["S", "M", "M"], ["S", "A", "A"], ["S", "X", "M"]]
match | center ( 89,  54) | [["M", "M", "S"], ["A", "A", "M"], ["M", "M", "S"]]
match | center ( 89,  59) | [["M", "A", "M"], ["M", "A", "S"], ["S", "X", "S"]]
match | center ( 89,  81) | [["M", "M", "M"], ["X", "A", "M"], ["S", "S", "S"]]
match | center ( 89,  84) | [["M", "S", "M"], ["A", "A", "A"], ["S", "M", "S"]]
match | center ( 89,  85) | [["S", "M", "S"], ["A", "A", "M"], ["M", "S", "M"]]
match | center ( 89,  92) | [["S", "S", "M"], ["A", "A", "X"], ["S", "M", "M"]]
match | center ( 89,  99) | [["M", "S", "S"], ["X", "A", "X"], ["M", "S", "S"]]
match | center ( 89, 103) | [["S", "S", "M"], ["X", "A", "M"], ["S", "S", "M"]]
match | center ( 89, 119) | [["S", "A", "S"], ["S", "A", "S"], ["M", "X", "M"]]
match | center ( 89, 121) | [["S", "X", "S"], ["S", "A", "M"], ["M", "A", "M"]]
match | center ( 89, 129) | [["M", "M", "S"], ["M", "A", "S"], ["M", "M", "S"]]
match | center ( 90,   1) | [["M", "A", "M"], ["M", "A", "M"], ["S", "M", "S"]]
match | center ( 90,  28) | [["S", "A", "M"], ["M", "A", "M"], ["S", "M", "M"]]
match | center ( 90,  34) | [["S", "X", "S"], ["X", "A", "S"], ["M", "X", "M"]]
match | center ( 90,  50) | [["M", "A", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center ( 90,  65) | [["M", "A", "S"], ["M", "A", "X"], ["M", "M", "S"]]
match | center ( 90,  76) | [["M", "M", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center ( 90,  95) | [["S", "X", "S"], ["A", "A", "X"], ["M", "M", "M"]]
match | center ( 90, 115) | [["M", "M", "S"], ["X", "A", "X"], ["M", "A", "S"]]
match | center ( 90, 121) | [["S", "A", "M"], ["M", "A", "M"], ["S", "X", "M"]]
match | center ( 90, 126) | [["S", "S", "S"], ["X", "A", "M"], ["M", "A", "M"]]
match | center ( 90, 131) | [["S", "X", "S"], ["S", "A", "A"], ["M", "M", "M"]]
match | center ( 91,   6) | [["S", "M", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 91,  15) | [["S", "M", "M"], ["X", "A", "S"], ["S", "X", "M"]]
match | center ( 91,  37) | [["M", "X", "M"], ["M", "A", "A"], ["S", "S", "S"]]
match | center ( 91,  50) | [["S", "A", "S"], ["M", "A", "S"], ["M", "A", "M"]]
match | center ( 91,  56) | [["S", "A", "M"], ["S", "A", "M"], ["S", "M", "M"]]
match | center ( 91,  74) | [["S", "X", "M"], ["M", "A", "M"], ["S", "A", "M"]]
match | center ( 91,  82) | [["S", "S", "S"], ["X", "A", "X"], ["M", "X", "M"]]
match | center ( 91,  88) | [["S", "A", "M"], ["M", "A", "S"], ["S", "A", "M"]]
match | center ( 91,  90) | [["M", "M", "S"], ["S", "A", "X"], ["M", "X", "S"]]
match | center ( 91,  99) | [["M", "S", "S"], ["X", "A", "A"], ["M", "S", "S"]]
match | center ( 91, 100) | [["S", "S", "M"], ["A", "A", "M"], ["S", "S", "M"]]
match | center ( 91, 102) | [["M", "S", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center ( 91, 105) | [["M", "X", "M"], ["X", "A", "M"], ["S", "M", "S"]]
match | center ( 91, 119) | [["M", "X", "M"], ["M", "A", "S"], ["S", "A", "S"]]
match | center ( 92,   1) | [["S", "M", "S"], ["A", "A", "A"], ["M", "M", "M"]]
match | center ( 92,  32) | [["M", "X", "M"], ["A", "A", "M"], ["S", "X", "S"]]
match | center ( 92,  48) | [["S", "M", "M"], ["S", "A", "M"], ["S", "X", "M"]]
match | center ( 92,  50) | [["M", "A", "S"], ["M", "A", "M"], ["M", "M", "S"]]
match | center ( 92,  52) | [["S", "M", "M"], ["M", "A", "S"], ["S", "M", "M"]]
match | center ( 92,  54) | [["M", "A", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center ( 92,  96) | [["M", "M", "S"], ["A", "A", "X"], ["M", "A", "S"]]
match | center ( 92, 131) | [["M", "M", "M"], ["M", "A", "S"], ["S", "M", "S"]]
match | center ( 93,  11) | [["M", "A", "S"], ["S", "A", "S"], ["M", "A", "S"]]
match | center ( 93,  15) | [["S", "X", "M"], ["S", "A", "A"], ["S", "M", "M"]]
match | center ( 93,  22) | [["M", "M", "M"], ["X", "A", "A"], ["S", "A", "S"]]
match | center ( 93,  36) | [["S", "S", "S"], ["M", "A", "M"], ["M", "A", "M"]]
match | center ( 93,  38) | [["S", "S", "S"], ["M", "A", "A"], ["M", "X", "M"]]
match | center ( 93,  54) | [["S", "A", "S"], ["M", "A", "S"], ["M", "M", "M"]]
match | center ( 93,  67) | [["S", "M", "S"], ["M", "A", "X"], ["M", "S", "M"]]
match | center ( 93,  72) | [["S", "X", "S"], ["M", "A", "X"], ["M", "M", "M"]]
match | center ( 93,  79) | [["M", "M", "M"], ["A", "A", "A"], ["S", "S", "S"]]
match | center ( 93,  80) | [["M", "M", "M"], ["A", "A", "M"], ["S", "S", "S"]]
match | center ( 93,  82) | [["M", "X", "M"], ["M", "A", "X"], ["S", "S", "S"]]
match | center ( 93,  86) | [["S", "X", "S"], ["A", "A", "A"], ["M", "S", "M"]]
match | center ( 93,  92) | [["S", "M", "M"], ["M", "A", "S"], ["S", "X", "M"]]
match | center ( 93, 125) | [["M", "M", "M"], ["S", "A", "X"], ["S", "A", "S"]]
match | center ( 93, 127) | [["M", "S", "M"], ["X", "A", "X"], ["S", "M", "S"]]
